Application Date,Case Number,Address,Latitude,Longitude,CD#,Community Plan Area,Project Description,Request Type,Applicant Contact
1/15/2015,DIR-2015-275-CWC,220 S VAN NESS AVE 90004,34.070472,-118.31521,4,Wilshire,"ELEMENTS IN THE WINDSOR SQUARE HPOZ FOR EXTERIOR REPAIRS, RE-ROOF, STUCCO REPLACEMENT, AND REPLACEMENT OF DRIVEWAY AND CURB APRON.",CWC-CONFORMING WORK CONTRIBUTING ELEMENTS,SHANA BARGHOUTI (213)978-1218
1/13/2015,ENV-2015-227-EAF,16101 S FIGUEROA ST 90248,33.885111,-118.283094,15,Harbor Gateway,PROPOSED 12-UNIT SMALL-LOT SUBDIVISION ON A [Q]C2-1 ZONED LOT.,EAF-ENVIRONMENTAL ASSESSMENT,MING HUO/KEVIN LAI (626)281-2288
1/13/2015,VTT-73264-SL,16101 S FIGUEROA ST 90248,33.885111,-118.283094,15,Harbor Gateway,PROPOSED 12-UNIT SMALL-LOT SUBDIVISION ON A [Q]C2-1 ZONED LOT.,SL-SMALL LOT SUBDIVISION,MING HUO/KEVIN LAI (626)281-2288
1/13/2015,ENV-2015-224-EAF,1305 W SEPULVEDA BLVD 90501,33.8140478,-118.2994106,15,Harbor Gateway,A CONDITIONAL USE PERMIT TO ALLOW FOR HOURS OF OPERATION UNDER MINI-SHOPPING CENTER COMMERCIAL CORNER DEVEVELOPMENT HOURS OF OPERATION TO ALLOW 4:00 A.M. TO MIDNIGHT,EAF-ENVIRONMENTAL ASSESSMENT,LARRY CARR (310)986-2440
1/13/2015,ZA-2015-223-CU,1305 W SEPULVEDA BLVD 90501,33.8140478,-118.2994106,15,Harbor Gateway,A CONDITIONAL USE PERMIT TO ALLOW FOR HOURS OF OPERATION UNDER MINI-SHOPPING CENTER COMMERCIAL CORNER DEVEVELOPMENT HOURS OF OPERATION TO ALLOW 4:00 A.M. TO MIDNIGHT,CU-CONDITIONAL USE,LARRY CARR (310)986-2440
1/13/2015,ENV-2015-234-EAF,586 S MATEO ST 90013,34.0388856,-118.2326904,14,Central City North,SALE OF FULL LINE OF ALCOHOLIC BEVERAGES FOR OFF-SITE CONSUMPTION IN CONJUCTION WIT A NEW DISTILLERY.,EAF-ENVIRONMENTAL ASSESSMENT,MARGARET TAYLOR (818)398-2740
1/13/2015,ZA-2015-233-CUB,586 S MATEO ST 90013,34.0388856,-118.2326904,14,Central City North,SALE OF FULL LINE OF ALCOHOLIC BEVERAGES FOR OFF-SITE CONSUMPTION IN CONJUCTION WIT A NEW DISTILLERY.,CUB-Conditional Use Beverage-Alcohol,MARGARET TAYLOR (818)398-2740
1/22/2015,DIR-2015-338-SPP,4917 E ALDAMA ST 90042,34.11095,-118.209416,1,Northeast Los Angeles,ADDITION TO AN EXISTING SFD,SPP-SPECIFIC PLAN PROJECT PERMIT COMPLIANCE,GEORGE GONZALES (323)312-9848
1/22/2015,ENV-2015-339-CE,4917 E ALDAMA ST 90042,34.11095,-118.209416,1,Northeast Los Angeles,ADDITION TO AN EXISTING SFD,CE-CATEGORICAL EXEMPTION,GEORGE GONZALES (323)312-9848
1/21/2015,DIR-2015-317-CWNC,5712 E BUCHANAN ST 90042,34.117486,-118.193506,1,Northeast Los Angeles,296 SQ. FT. ONE STORY IRREGULAR SHAPE ADDITION,CWNC-CONFORMING WORK NON-CONTRIBUTING ELEMENTS,ROBERT CLANDOS (000)000-0000
1/22/2015,DIR-2015-357-CWNC,6510 E ELGIN ST 90042,34.117409,-118.177858,14,Northeast Los Angeles,"PURSUANT TO LAMC 12.20.3J, CONFORMING WORK ON A NON-CONTRIBUTING ELEMENT IN THE HIGHLAND PARK-GARVANZA HPOZ FOR INSTALATION OF SOLAR PANELS ON REAR, SOUTH FACING ROOF, NOT VISIBLE FROM THE STREET.",CWNC-CONFORMING WORK NON-CONTRIBUTING ELEMENTS,PAOLO CAMPOS (855)277-7155
1/20/2015,DIR-2015-308-CWNC,5224 N FIGUEROA ST 90042,34.10639,-118.19852,1,Northeast Los Angeles,"PURSUANT TO LAMC 12.20.3J, CONFORMING WORK ON A NON-CONTRIBUTING ELEMENT IN THE HIGHLAND PARK - GARVANZA HPOZ FOR REPLACEMENT OF THREE ANTENNAS WITH NEW 8' LONG ANTENNAS ON EXISTING MONOPOLE.",CWNC-CONFORMING WORK NON-CONTRIBUTING ELEMENTS,ALYCE READ (949)930-7464
1/13/2015,DIR-2015-248-CWC,303 E STOWE TER 90042,34.114531,-118.189257,1,Northeast Los Angeles,"DEMOLITION OF EXTERIOR STAIRS ON SOUTH FA€ADE, CONSTRUCTION OF NEW DECK AND STAIRS ON NORTH FA€ADE, REMOVAL AND REPLACEMENT OF WINDOW ON NORTH FA€ADE WITH NEW SINGLE-LITE FRENCH DOORS, AND NEW 6 FOOT",CWC-CONFORMING WORK CONTRIBUTING ELEMENTS,WILLIAM HOWARD (323)742-8574
1/14/2015,DIR-2015-244-DRB-SPP-MSP,7711 W FLYNN RANCH ROAD 90046,34.128407,-118.364778,4,Hollywood,NEW ACCESSORY LIVING QUARTERS,DRB-DESIGN REVIEW BOARD,GEORGE NEWBURN - STUDIO 440 ARCHITECTS (323)460-4141
1/14/2015,ENV-2015-245-CE,7711 W FLYNN RANCH ROAD 90046,34.128407,-118.364778,4,Hollywood,NEW ACCESSORY LIVING QUARTERS,CE-CATEGORICAL EXEMPTION,GEORGE NEWBURN - STUDIO 440 ARCHITECTS (323)460-4141
1/12/2015,DIR-2015-100-COA,1324 N ORANGE GROVE AVE 90046,34.095172,-118.360027,4,Hollywood,NEW CONSTRUCTION OF A SECOND STORY 420 SF ADDITION TO AN EXISTING SFD,COA-CERTIFICATE OF APPROPRIATENESS,GINA MOFFITT (323)277-5647
1/12/2015,ENV-2015-101-CE,1324 N ORANGE GROVE AVE 90046,34.095172,-118.360027,4,Hollywood,NEW CONSTRUCTION OF A SECOND STORY 420 SF ADDITION TO AN EXISTING SFD,CE-CATEGORICAL EXEMPTION,GINA MOFFITT (323)277-5647
1/16/2015,ENV-2015-286-EAF,5634 W HOLLYWOOD BLVD 90028,34.10148,-118.3127424,13,Hollywood,A CONDITIONAL USE TO PERMIT AN UPGARDE TO A FULL LINE OF ALCOHOL SALES FOR ON SITE CONSUMPTION IN CONJUNCTION WITH AN EXISTING BAR,EAF-ENVIRONMENTAL ASSESSMENT,ELIZABETH PETERSON (213)620-1904
1/16/2015,ZA-2015-285-CUB,5634 W HOLLYWOOD BLVD 90028,34.10148,-118.3127424,13,Hollywood,A CONDITIONAL USE TO PERMIT AN UPGARDE TO A FULL LINE OF ALCOHOL SALES FOR ON SITE CONSUMPTION IN CONJUNCTION WITH AN EXISTING BAR,CUB-Conditional Use Beverage-Alcohol,ELIZABETH PETERSON (213)620-1904
1/22/2015,ENV-2015-351-CE,1522 N VAN NESS AVE 90028,34.098578,-118.315437,13,Hollywood,INSTALLATION OF AN UNMANNED WIRELESS TELECOMMUNICATIONS FACILITY (LIGHT POLE) IN THE C2-1 ZONE.,CE-CATEGORICAL EXEMPTION,ROBERT KRIBS (760)798-2315
1/22/2015,ZA-2004-1833-CU-1A-PA1,1522 N VAN NESS AVE 90028,34.098578,-118.315437,13,Hollywood,CU-CONDITIONAL USE,()-,
1/21/2015,CHC-2015-333-HCM,6253 W HOLLYWOOD BLVD 90028,34.1018089,-118.3263653,13,Hollywood,BANK OF HOLLYWOOD/ EQUITABLE BUILDING HISTORIC-CULTURAL MONUMENT,HCM-HISTORIC CULTURAL MONUMENT,NELS YOUNGBORG (213)978-1192
1/21/2015,ENV-2015-334-CE,6253 W HOLLYWOOD BLVD 90028,34.1018089,-118.3263653,13,Hollywood,BANK OF HOLLYWOOD/ EQUITABLE BUILDING HISTORIC-CULTURAL MONUMENT,CE-CATEGORICAL EXEMPTION,NELS YOUNGBORG (213)978-1192
1/20/2015,ENV-2015-315-EAF,6941 N JELLICO AVE 91406,34.196809,-118.517703,6,Reseda - West Van Nuys,THE LEGALIZATION OF AN (E) 2ND DWELLING UNIT IN AN R1-1 ZONE,EAF-ENVIRONMENTAL ASSESSMENT,DIAHANNE C. PAYNE (310)365-8543
1/20/2015,ZA-2015-314-ZV-ZAA,6941 N JELLICO AVE 91406,34.196809,-118.517703,6,Reseda - West Van Nuys,THE LEGALIZATION OF AN (E) 2ND DWELLING UNIT IN AN R1-1 ZONE,ZV-ZONE VARIANCE,DIAHANNE C. PAYNE (310)365-8543
1/23/2015,APCSV-2015-374-ZC-BL,17150 W ROSCOE BLVD 91406,34.2213094,-118.488094,6,Reseda - West Van Nuys,ZONE CHANGE AND BUIDLING LINE REMOVAL FOR THE CONSTRUCTION OF SEVEN SFD'S.,ZC-ZONE CHANGE,ROGELIO NAVAR (818)999-9979
1/23/2015,ENV-2015-375-EAF,17150 W ROSCOE BLVD 91406,34.2213094,-118.488094,6,Reseda - West Van Nuys,ZONE CHANGE AND BUIDLING LINE REMOVAL FOR THE CONSTRUCTION OF SEVEN SFD'S.,EAF-ENVIRONMENTAL ASSESSMENT,ROGELIO NAVAR (818)999-9979
1/23/2015,VTT-73089-SL-CN,17150 W ROSCOE BLVD 91406,34.2213094,-118.488094,6,Reseda - West Van Nuys,ZONE CHANGE AND BUIDLING LINE REMOVAL FOR THE CONSTRUCTION OF SEVEN SFD'S.,SL-SMALL LOT SUBDIVISION,ROGELIO NAVAR (818)999-9979
1/23/2015,CPC-2015-376-MCUP-ZV-SPR,1550 N SAN PABLO ST 90033,34.0628814,-118.2029593,14,Northeast Los Angeles,"CONSTRUCTION OF A FIVE-STORY MIXED-USE BUILDING WITH 200 HOTEL GUEST ROOMS, 1,500 SF. OF ANCILLARY RETAIL SPACE, AND 17,530 SF. OF RESTAURANT AND BAR SPACE.",MCUP-MASTER CONDITIONAL USE PERMIT,MATT DZUREC (310)209-8800
1/20/2015,ENV-2015-306-EAF,5267 W HOLLYWOOD BLVD 90027,34.102389,-118.3056942,13,Hollywood,"PROPOSED 900 SF. BANQUET ROOM ADDITION TO AN EXISTING 3,090 SF. RESTAURANT WITH THE CONTINUED SALE OF ALCOHOL AND UPGRADE TO FULL-LINE ALCOHOL FROM BEER AND WINE, WITH LIVE ENTERTAINMENT.",EAF-ENVIRONMENTAL ASSESSMENT,"LEE RABUN - CLR ENTERPRISES, INC. (213)229-4300"
